Tim,06-10-2021,41.647067070007324,8
Tim,06-10-2021,54.360084533691406,8
Tim,06-10-2021,52.02027440071106,8
Tim,06-10-2021,34.06830596923828,8
Tim,06-10-2021,41.44807147979736,8
Tim,06-10-2021,56.40958285331726,7
Tim,06-10-2021,130.78323221206665,16
Tim,06-10-2021,153.12190866470337,16
Tim,06-10-2021,479.1731731891632,20
Tim,06-10-2021,452.52137899398804,20
Tim,06-10-2021,59.09606456756592,5
Tim,06-10-2021,41.385843992233276,5
Tim,06-10-2021,38.16680955886841,6
Tim,06-10-2021,55.81118416786194,6
Tim,06-10-2021,24.537692070007324,7
Tim,06-10-2021,36.7808837890625,8
Tim,06-10-2021,36.413118839263916,8
Tim,06-10-2021,32.93701958656311,8
Tim,10-10-2021,42.86611771583557,8
Tim,10-10-2021,214.86739706993103,16
Tim,10-10-2021,37.72927737236023,8
Tim,10-10-2021,60.27041482925415,8
Tim,10-10-2021,32.55646538734436,8
Tim,10-10-2021,107.73356485366821,8
Tim,10-12-2021,134.856516122818,16
Tim,07-02-2022,74.62304282188416,8
Tim,14-02-2022,41.55817008018494,8
Tim,14-02-2022,71.48439168930054,8
Tim,23-02-2022,66.73831725120544,8
Tim,23-02-2022,75.42658066749573,6
